"movieNames","movieGenres","userId","rating"
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138415,4
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138416,5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138422,4.5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138423,2
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138424,5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138428,5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138430,2
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138431,5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138432,4
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138436,3.5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138437,4
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138439,4
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138441,5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138443,3.5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138445,4
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138446,5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138448,5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138454,5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138456,1
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138459,2
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138464,4
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138467,4
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138471,4.5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138472,3
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138473,4.5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138474,5
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138477,3
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138480,4
"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",138481,4
